Number,Year,Genre,Source,Sentence,Syntax,Contrast,Position,Other,Local,Licensor.category,Licensor,Note,Note2,Syntax2,Contrast2
110,2009,FIC,Bk:PlainPursuitDaughters ,"lot to swallow. Carley couldn't get past the lack of electricity, much less the fact that Lillian had married Amish widower Samuel Stoltzfus, become a stepmother to",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
111,2009,FIC,Bk:LetSleepingDogs ,"it hadn't been for him, you wouldn't have a license, much less your name painted on the window. "" # With uncustomary patience, Jack said",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
112,2009,FIC,Bk:MotherBelievers ,"from my house, for there was barely enough to feed one man, much less the gathered dignitaries of the Quraysh. He simply smiled and reached into the bowl",NP,NP,final,NA,1,Adv,barely,NA,NA,NP,NP
113,2009,FIC,Bk:Dragonbound ,"a mouth so dry that her tongue could not even wet her teeth, much less her chapped and bleeding lips. # Dragon fire, dragon scales, and dragon",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
114,2009,FIC,Analog ,"we left. I wouldn't bet on much remaining of civilization there, much less a computer of the same vintage as the ship's intelligence. Elderly and eccentric",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
118,2009,FIC,Analog ,"text described things even a normal blind person couldn't be aware of, much less the preUnguistic Helen who had existed prior to the water-pump moment. In Helen's",NP,NP,final,subj,0,Neg,NA,NA,NA,NP,NP
119,2009,FIC,FantasySciFi ,". And since nobody today even knows where the farm used to be, much less the house, much less the cistern, and since there's a town built",NP,NP,final,subj,0,Neg,nobody,NA,NA,NP,NP
120,2009,FIC,FantasySciFi ,"even knows where the farm used to be, much less the house, much less the cistern, and since there's a town built on top of it all",NP,NP,final,subj,1,Neg,nobody,double much less!!,NA,NP,NP
124,2009,FIC,Triquarterly ,", have lived on in Spracdes forever without having anyone from the village, much less a tourist, ever see him or bother him (a young man they regularly",NP,NP,in S,subj,0,Prep,without,NA,NA,NP,NP
125,2009,MAG,CountryLiving ,"protein-may prove taxing for an adult to contend with on a regular basis, much less your boys. So pass on the iguana for now, and instead focus on",NP,NP,final,subj,0,Adj,taxing,NA,NA,NP,NP
126,2009,MAG,MilitaryHist ,"repeatedly proved incapable of thinking through the operational consequences of their tactical successes, much less the strategic and political implications of the conflicts on which they so readily embarked.",NP,NP,final,NA,0,Adj,incapable,NA,NA,NP,NP
127,2009,MAG,MotherJones ,"changing, they are loath to link individual weather events to climate change, much less a particular source of carbon emissions. Yet as the science of climate modeling and",NP,NP,final,NA,1,Adj,loath,NA,NA,NP,NP
130,2008,FIC,FantasySciFi ,"of decaying hulks, and no work was to be bad by anyone, much less a cripple. After a week of useless tramping about, I turned the mirror",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
133,2008,FIC,Bk:BeastInHim ,"? Smitty had a hard enough time thinking of Jessie as a CEO, much less the Alpha of a Pack. Of course, they were dogs. Much easier",NP,NP,final,NA,1,Adj,hard,NA,NA,NP,NP
134,2008,FIC,Bk:JamesBoys ,"that all of that open space-those endless empty miles with scarcely a shanty, much less a caf or cathedral to break the sheer geology of it all-had literally made him",NP,NP,in S,conj,1,Adv,scarcely,NA,NA,NP,NP
136,2008,FIC,Bk:HeartFire ,"it. Not for a moment. My sister would never harm anyone, much less her own baby. "" // Krista's gaze held a trace of pity.",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
137,2008,FIC,FantasySciFi ,"my sf work, there never was that delicious sense of the profound, much less any trace of an authentic plot line. And afterward, rereading the raw manuscript",NP,NP,final,NA,0,Neg,never,NA,NA,NP,NP
138,2008,FIC,Bk:LavenderMorning ,"n't really know. I didn't know Miss Edi owned a house, much less a town. "" # "" Actually, she had to give us our freedom",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
139,2008,FIC,Bk:JesusStoryEnlightenment ,"of the trail were large enough for a grown man to disappear into, much less a scrawny boy. # I proceeded slowly after him, but not because of",NP,NP,final,subj,0,NEC,NA,NA,NA,NP,NP
141,2008,FIC,Bk:Valley-Westside ,"they started shooting, his leather jerkin wouldn't keep out an arrow, much less a bullet. # But they didn't. He breathed a sight of relief",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
143,2008,FIC,Analog ,"real challenge. We'll hardly be able to see our own bikes, much less the markers. "" He checked his watch-5:30 PMand switched it to twenty-four-hour time in",NP,NP,final,NA,1,Adv,hardly,NA,NA,NP,NP
144,2008,MAG,Fortune ,"nor Tarrant will disclose the precise names of the funds they now run, much less their performance records. But a London publication, InvestHedge, whose parent runs a",NP,NP,final,NA,0,Neg,nor,NA,NA,NP,NP
146,2008,MAG,Entertainment ,has never had to grapple with the idea of a First Lady artiste -- much less a former glamazon who just last year told the press that monogamy bored her to,NP,NP,final,NA,1,Neg,never,ambiguity in locality: local most probable,NA,NP,NP
147,2008,MAG,People ,"it is a giant mystery to me why Jessica Simpson is still news, much less a cover story. Diane Schumacker via e-mail I never cared for Jessica Simpson as",NP,NP,final,NA,1,Ques,NA,NA,NA,NP,NP
148,2008,MAG,MilitaryHist ,"its ability to foot the enormous production costs the war was already imposing, much less the projected vast expansion of the RAF and Royal Navy. The United States alone",NP,NP,final,NA,0,NEC,NA,NA,NA,NP,NP
149,2008,MAG,MilitaryHist ,"There was no way for the Reich to acquire adequate supplies of steel, much less the dockyard capacity, to build such a fleet. Moreover, the United States",NP,NP,in NP,subj,0,Neg,NA,NA,NA,NP,NP
150,2008,NEWS,NYTimes ,"who lives in Washington. // If you do not know their names, much less their views on the war in Iraq, the faltering economy or how New Jersey",NP,NP,final,conj,1,Neg,NA,NA,NA,NP,NP
151,2008,NEWS,Houston ,"beat Oakland 2-1. // Before then, he had not collected a homer - much less an RBI - this month. The 20-year-old had gone 3-for-36 with 18 strikeouts in",NP,NP,in VP,NA,1,Neg,NA,NA,NA,NP,NP
152,2008,NEWS,Atlanta ,"under the Gold Dome, and without the bleat of a single trumpet, much less a press conference. // Worlds were overthrown with a minimum of fuss. Revolutions",NP,NP,final,NA,0,Prep,without,NA,NA,NP,NP
153,2008,NEWS,SanFranChron ,"developer's make-believe live-work loft that's too small for a substantial studio, much less a family. # It took months, but they found it on Potrero Hill",NP,NP,final,NA,1,Adj,too,NA,NA,NP,NP
154,2008,NEWS,Houston ,"materials to begin rebuilding. # No one can get a straight answer, much less the same answer from different people. They don't know when their homes will",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
155,2008,NEWS,Denver ,"ubiquitous critical media that today would have never described that game as great, much less the greatest ever. An exciting game of momentum swings, yes. But the",NP,NP,final,ellipsis,1,Neg,never,NA,NA,NP,NP
156,2007,SPOK,CNN_Cooper ,"evidence whatsoever from either Franklin County, Washington County, Saint Louis County, much less the federal government. COOPER: So -- so, at this point, you",NP,NP,final,conj,1,NEC,NA,NA,NA,NP,NP
157,2007,SPOK,CNN_Showbiz ,"people talk about one another travels around the jail just with regular inmates, much less a celebrity. Whats interesting is weve heard very little -- really nothing from anyone",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
158,2007,SPOK,NPR_TalkNation ,"about implementing these. CONAN: But how would - even the police, much less a librarian, if it came to that, how would they judge somebody's",NP,NP,final,NA,1,Ques,NA,NA,NA,NP,NP
159,2007,SPOK,ABC_ThisWeek ,"say we are inherently fundamentally more divided than we were in the 1960s, much less the 1890s or 1860s. What is unusual about this moment is that the political",NP,NP,final,conj,1,NEC,NA,NA,NA,NP,NP
160,2007,SPOK,NPR_ATC ,"with, that this was a tremendously hard on you taking from anybody, much less a 16-year-old kid? Mr-HORNBY: Sure. And I think that anyone who's",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
161,2007,FIC,SouthernRev ,". "" Those rapids are scary close up. Even in a canoe, much less a rubber ring "" "" A rubber ring and a paddle. "" "" Which",NP,NP,final,NA,1,Adj,scary,Interesting case!,NA,NP,NP
162,2007,FIC,Bk:WellBredAndDead ,"I know now, I wouldn't have put out a single sou, much less the small fortune I spent to see to it that he had a proper send-off",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
164,2007,MAG,ChristCentury ,"distortion, a dismemberment and defamation of man, and not a reflection, much less a glorification, as it was from Phidias to the PreRaphaelites. Surgical remains are",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
165,2007,MAG,TechReview ,"RNA). In the absence of any experimental evidence for small RNA, much less their chemical binding to amino adds, even Francis could not long remain buoyant about",NP,NP,final,NA,1,Noun,absence,NA,NA,NP,NP
167,2007,MAG,Ms ,"couldn't picture my Grandma as someone responsible for the death of anything, much less her best friend at the age of 16. She had carried this secret all",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
168,2007,MAG,Newsweek ,"disturbing. This is not behavior I would expect from any respectable person, much less a senator. Sandy Frank Coralville, La. Revisiting Duke With all the analysis",NP,NP,final,NA,1,Neg,NA,any,NA,NP,NP
169,2007,MAG,USNWR ,"financial realm, there is no equivalent of deposit insurance to maintain confidence, much less the price of the underlying assets. Mortgage lenders, money market mutual funds,",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
170,2007,MAG,TIME ,". The bill couldn't muster the votes necessary to overcome a filibuster, much less the inevitable Bush veto. Indeed, with Iraq calmer for the moment, Democrats",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
172,2007,NEWS,SanFranChron ,"argue that the average person is never likely to encounter a violent criminal, much less a terrorist? # "" It's ridiculous, because you should to the best",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
173,2007,NEWS,SanFranChron ,"as art form -- a novel idea for anyone to hold in 1930, much less a 14-year-old. # As an adult, managing seven movie houses under San Francisco",NP,NP,final,subj,0,NEC,NA,NA,NA,NP,NP
176,2007,NEWS,NYTimes ,", and said I'd never called her anything during our postmatch handshake, much less an unprintable word. # "" I'm not just dreaming this, young man",NP,NP,final,NA,0,Neg,never,NA,NA,NP,NP
177,2007,ACAD,AmerScholar ,affixing blame for the city's poverty and decay than about fixing potholes -- much less the dysfunctional public schools or the unraveled social and public-health safety nets. But in,NP,NP,final,conj,1,NEC,NA,NA,NA,NP,NP
179,2007,ACAD,ChurchHistory ,"Crimean khan accepted Ivan's conquest of Kazan' and its Muslim peoples, much less his continued aggression against Islam, demonstrated by the conquest of Astrakhan. The tsar",NP,NP,final,NA,0,Positive,NA,NA,NA,NP,NP
180,2006,FIC,IndiaCurrents ,"no explanation why their daughter should have such an assured attitude about reincarnation, much less a distinct memory of her and her lover's tragic accident. # "" I",NP,NP,final,NA,0,Ques,NA,NA,NA,NP,NP
181,2006,FIC,ArkansasRev ,"be told, I was too damned sick to drive a mule wagon, much less a motorized vehicle. Venus backed up the El Camino and we were out on",NP,NP,final,NA,1,Adj,too,NA,NA,NP,NP
182,2006,FIC,Bk:HowBePopular ,"I won't be landing on America's Next Top Model anytime soon, much less the court of any fair queen. "" No, ma'am, "" I said",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
184,2006,FIC,Bk:NotSoSnowWhite ,", really. And she hadn't even known about the damn extension, much less the due date. Of course, it was true he'd been pestering her",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
185,2006,MAG,ChristCentury ,"CoxJohnson. Emergent as a movement has never sought to he a brand, much less a new denomination. but instead is a friendship network among members of several church",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
188,2006,NEWS,NYTimes ,"a sickly newborn, she did not have money for a high chair, much less her growing boy's pants or shoes. And at 15, he is 6-foot-2",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
189,2006,NEWS,NYTimes ,"access to medical care. # Many have never even heard of diabetes, much less the recent scientific studies showing that a Western diet, high in fat and sugar",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
191,2006,NEWS,WashPost ,"just 15 officers including the chief, doesn't have its own dispatcher, much less an extensive travel budget. So Chapman finagled $150 in gas money from the town",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
192,2006,NEWS,SanFranChron ,"the demands of the more than 7,400 people severely injured in the quake, much less those suffering from an upswing in heart attacks, ulcers and stress-related illnesses. # ",NP,NP,final,NA,0,NEC,NA,NA,NA,NP,NP
194,2006,NEWS,Denver ,"shift changes can last an hour or more, and a camping spot, much less an apartment, is nearly impossible to find. # Rig crews are crowded together",NP,NP,in S,subj,1,NEC,NA,NA,NA,NP,NP
195,2006,ACAD,ForeignAffairs ,"However, no NATO member currently faces a military threat from another country, much less the type of threat that led to NATO's establishment in 1949. In the",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
196,2006,ACAD,EarNoseThroat ,"most primary care physicians do not have an operating head on their otoscope, much less an operating microscope and a suction, so most are not equipped to thoroughly debride",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
198,2006,ACAD,Archaeology ,"Balkans at that time were stone-tool-wielding Paleolithic people who never built a house, much less a pyramid. Osmanagic nods at this, saying that the "" millions of 40-ton",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
199,2006,ACAD,LawPublicPol ,"of state sovereignty. Clearly, comparable action by OCC without congressional support, much less an "" explicitly conferred "" statutory authority, is all the more unconstitutional. # ",NP,NP,in S,subj,1,Prep,without,NA,NA,NP,NP
200,2006,ACAD,ForeignAffairs ,"tense. But Venezuela is simply not a threat to the United States, much less an enemy. Many in the Bush administration -- still convinced that the Cold War",NP,NP,final,NA,0,neg,NA,NA,NA,NP,NP
202,2006,SPOK,Fox_Gibson ,"the Merkava tanks. It's hard to see in daytime, John, much less the nighttime. So to give you an image, there's a ridgeline over",NP,NP,final,NA,1,Adj,hard,intervening appositive,NA,NP,NP
203,2006,FIC,Bk:Stalemate ,"It's true. "" Soldono hadn't noticed any emotion in Montalvo, much less a passion. The man was brilliant, innovative, and he kept any feelings",NP,NP,final,NA,0,Neg,NA,any,NA,NP,NP
204,2006,FIC,Bk:Sleeper ,"it, I'm sure, haven't been seen by any employee, much less any health inspector, since Kansas was Indian Territory. I pulled what looked like",NP,NP,final,NA,1,Neg,NA,any,NA,NP,NP
205,2005,SPOK,Fox_Saturday ,"at "" The Washington Post, "" that no one else in journalism, much less that newspaper, enjoys. How can he do these things and see a government",NP,NP,in S,subj,1,Neg,NA,NA,NA,NP,NP
206,2005,SPOK,CBS_Sixty ,", never committed a single crime for mobster Anthony "" Gaspipe "" Casso, much less a murder along a crowded highway. ! HAYES: I cant imagine",NP,NP,final,NA,0,Neg,never,NA,NA,NP,NP
207,2005,SPOK,NBC_Today ,"opportunity to really make an assessment of where things are in New Orleans, much less our campuses. But I can tell you, within the next 72 hours,",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
208,2005,SPOK,NPR_FreshAir ,"considered doable in the first place. There were no personal computers then, much less the sort of hand-held encyclopedic reference Adams imagined in the title of his story.",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
210,2005,SPOK,NPR_Daybreak ,"what to do next. No one was talking about leaving the area, much less The Log Cabin. But as Claudell made clear, he's not sure what",NP,NP,final,NA,1,Neg,no one,NA,NA,NP,NP
211,2005,SPOK,MSNBC_Carlson ,"government ought to have to show harm before it takes people to court, much less a grand jury, right, and prosecutes them for a crime. Who was hurt",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
213,2005,FIC,Analog ,"that there wouldn't be enough empty space inside to hold a mouse, much less a larger being, even if you put all the voids together. "" """,NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
214,2005,FIC,LiteraryRev ,"A person could not be relied upon to faithfully recount their own past, much less the story of an entire country. Before she discovered the history section, she",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
216,2005,FIC,NewEnglandRev ,"Ewing's sarcoma. Wyatt was never the type to raise his voice, much less a fist, but he fought for his son's life, especially when the",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
217,2005,FIC,BkJuv:KissDark ,"up in his own pain he couldn't even take care of himself, much less a daughter. "" The butler shuffled forward to lay a gnarled hand on his",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
219,2005,MAG,BoysLife ,", fishing, he figured. Fenny couldn't see the rods themselves, much less the lines, but how the two sat and held out their arms, reeling",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
222,2005,MAG,Prevention ,"my clothes fit well enough to put together even one acceptable interview outfit, much less an office wardrobe. My mother promised that if I made the trip home to",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
223,2005,NEWS,AssocPress ,"there is no reason why their presence should be tolerated in the party, much less the government. Ms. Gandhi has already issued a public apology for the 1984 massacre",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
224,2005,ACAD,PublicInterest ,"a number of factors weighing against a significant upsurge in the Russian birthrate -- much less a return to earlier, Soviet-era, levels of fertility. # First, Russia",NP,NP,final,NA,0,Prep,against,NA,NA,NP,NP
226,2005,ACAD,NaturalHist ,"whether a preventative vaccine is likely to appear in the next several decades, much less the next few years. The original model, or basic design idea, for",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
227,2005,ACAD,Mercury ,", medicine, and labor-saving tools that are unimaginable to a 16th-century monarch, much less a sailor. This would not be a problem for the interstellar colonist except for",NP,NP,final,NA,1,Adj,unimaginable,NA,NA,NP,NP
229,2005,ACAD,Environment ,"in the 1970s did not foresee the popularity of SUVs and light trucks, much less the difficulties the new vehicles would create in meeting air quality standards. # Future",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
230,2005,ACAD,IndepSchool ,"basis was justice, a particularly difficult virtue for children in elementary school, much less the adults who teach them, to make concrete and understandable. The definition we",NP,NP,in S,subj,0,NEC,NA,NA,NA,NP,NP
233,2004,SPOK,MSNBC_Scarb ,"today. But after the 2004 election, do the Democrats have a direction, much less a destination? Joining us now, Congresswoman Loretta Sanchez, Democrat of California,",NP,NP,final,NA,1,Ques,NA,NA,NA,NP,NP
234,2004,SPOK,CNN_Presents ,"kidnapping at will, killing at will. What can the Iraqi people, much less the American people with forces on the ground, look for in terms of hope",NP,NP,in S,subj,1,Ques,NA,NA,NA,NP,NP
236,2004,FIC,FantasySciFi ,"they punish with fat penalties, and predicting the outcome of any game, much less the season, is impossible - which is the only reason people still are willing",NP,NP,in S,subj,1,NEC,NA,NA,NA,NP,NP
238,2004,FIC,AntiochRev ,"she knew-could say how many miles a bird might fly in its lifetime, much less the frequency with which birds make love. # The process begins in infancy.",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
239,2004,FIC,NewYorker ,"based on damned Bad Science? I think nobody gives good value now, much less a decent doggone show. And where the fuck is the energy and fun in",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
240,2004,FIC,Bk:Caramba! ,"even known on occasion to hitchhike. But board a bus, never. Much less a train. Consuelo's father, Don Pancho Macas Contreras (Q.E.P.D./R.I.P.),",NP,NP,final,NA,1,Neg,never,Licensor in separate sentence,NA,NP,NP
242,2004,FIC,BkJuv:GirlGolden ,"an ailing father to support, Cole hadn't had money to pay tuition much less the time to spend on school. Twenty-four and broke, Cole was the last",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
245,2004,MAG,AmSpect ,"be a serious question whether this conduct should be an offense at all, much less the basis for a felony conviction. Certainly, there is a huge disparity between",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
246,2004,MAG,SportingNews ,"wasn't a gasp when when they failed to reach the Elite Eight, much less the Final Four. Those teams lacked the athleticism and firepower present in this year",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
247,2004,MAG,MotherJones ,"desolate courtyard. The little alley was barely wide enough for a car, much less a Cabinet secretary's motorcade, and at the end of it was a dull",NP,NP,final,NA,1,Adj,barely,NA,NA,NP,NP
248,2004,MAG,Esquire ,"science, we wouldn't have the ability to feed 6.3 billion people, much less the additional 3 billion or so on the way. It was basic scientific advances",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
249,2004,MAG,Esquire ,"which had never been considered by the Pentagon to be a direct threat, much less the gravest threat we face, is made up of the countries that remain disconnected",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
251,2004,NEWS,USAToday ,"than $14 million, which would be an impressive sum for an incumbent, much less a state legislator in his first run for the Senate. His lead in the",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
252,2004,NEWS,WashPost ,"at the 15th. It's pretty hard to win a golf tournament, much less a major, putting like that. "" # Leonard put in a pitch to",NP,NP,final,NA,1,Adj,hard,NA,NA,NP,NP
253,2004,NEWS,Atlanta ,", the wind cuts to the bone and not even the bus tours, much less the horse and buggies, are running. # At Topsy Turvy, owner Steve",NP,NP,in S,"subj, conj",1,Neg,NA,NA,NA,NP,NP
254,2004,NEWS,Houston ,"decides to come clean. I vote no on the Hall of Fame, much less a return to baseball in any capacity. Life banishment is a life sentence that",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
255,2004,NEWS,Houston ,"# Ali clearly is a long shot in Athens to win a fight, much less a medal. But Watkins is cooking up another vision. # "" It's",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
258,2004,ACAD,Environment ,"retain attention. It should go without saying that overstating one's expertise, much less the truth of the problem or the feasibility of solutions, undermines not only the",NP,NP,final,"conj, subj",1,Prep,without,NA,NA,NP,NP
259,2004,ACAD,Archaeology ,"appearance seem unlikely to have ever carried the weight of heavy stone columns, much less the roof of some "" massive structure. "" Still, rising up from their",NP,NP,final,NA,0,Adj,unlikely,NA,NA,NP,NP
260,2004,ACAD,NAJPsychology ,"any of their instruments actually meet even these lax and partially-developed testing standards, much less the more stringent standards adopted by modern theories of psychological measurements (cf. American Educational",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
261,2003,SPOK,CBS_48Hours ,"raising Tamara in Manhattan, they had no idea she had a sister, much less an identical twin, living just a half hour away in suburban Long Island.",NP,NP,in S,subj,1,Neg,NA,NA,NA,NP,NP
262,2003,SPOK,NPR_Daybreak ,"women readers, can something that labels itself a feminist publication make inroads, much less a profit? Ms. researcher Camille Hahn(ph), an elfin 20-something, says she's",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
263,2003,SPOK,CNN_Zahn ,"is for three people to agree what movie they want to go see, much less those divergent peoples in that countries trying to decide what form of government they want",NP,NP,final,NA,0,NEC,NA,NA,NA,NP,NP
264,2003,FIC,FantasySciFi ,"floored Natasha, who had never had a man draw water for her, much less a boyar's squire. Flustered, she nodded her head, and he trotted",NP,NP,final,subj,0,Neg,never,contrasts with a man.,NA,NP,NP
266,2003,FIC,AntiochRev ,"well because he couldn't endure my having witnessed his whimpering and bitching, much less the shame of being sent home. I heard from the grapevine (our vine",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
268,2003,FIC,LitCavalcade ,"was not a man in Black Hawk who had the intelligence or cultivation, much less the personal distinction, of Antonia's father. Yet people saw no difference between",NP,NP,in NP,"more than N, less than NP",1,Neg,NA,NA,NA,NP,NP
269,2003,FIC,VirginiaQRev ,"her wearing a two-piece bathing suit that showed her belly in the summertime, much less a skimpy dance costume. But tonight he was the guest speaker at a youth",NP,NP,final,NA,0,NEC,NA,NA,NA,NP,NP
270,2003,FIC,SouthernRev ,"'s parents. "" I don't have the time to be sick. Much less the money. "" # Dark-haired, dark-eyed, nervously thin, burning with fever",NP,NP,final,subj,1,Neg,NA,Licensor in separate sentence. ML fragment.,NA,NP,NP
272,2003,FIC,Mov:FreddyvsJason ,"fact that Jason can't get a fair trial anywhere in the country, much less this state. (beat) Where's the horror section? Kwan points and",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
273,2003,MAG,NatGeog ,"us. In itself, the makeshift gate could not halt a toddler, much less a column of nearly three dozen armed men. But still, it bears a",NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
275,2003,MAG,Atlantic ,""" In fact Singer is not even a member of the animal-rights community, much less a pioneer, eminent or otherwise. In many of his writings Singer disavows the",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
276,2003,MAG,Forbes ,"as he wanted. # I'm not one to criticize another person -- much less a client -- because of his looks, but Dear Leader turned out to be",NP,NP,in VP,NA,1,Neg,NA,NA,NA,NP,NP
277,2003,MAG,MotherJones ,"is too good to be tree, too good to ever win the nomination much less the presidency. Hector Elizondo (Chicago Hope, Tortilla Soup) confides that Kucinich",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
278,2003,MAG,USCatholic ,", words that I thought I could never say to another human being, much less a priest. It took a long, long time. Father John would listen",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
279,2003,MAG,PCWorld ,"resources for welfare-to-work participants, many of whom had never used a PC, much less a Web browser. Complicating the task further, Thomas, a computer resources manager",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
280,2003,NEWS,NYTimes ,", for seven years. Vending machines have never darkened the school corridors, much less the lunchroom. And students are not permitted to leave school during lunch hour --",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
281,2003,NEWS,NYTimes ,", said federal school meal reimbursement rates had barely kept up with inflation, much less the actual cost of meals. # It will take additional spending to persuade schools",NP,NP,final,NA,1,Adj,barely,NA,NA,NP,NP
284,2003,NEWS,Houston ,"a few minutes, the owner, not pleased to see the investigator, much less a camera crew, flashes out the front door. # "" Nosy (bleep",NP,NP,in S,subj,1,Neg,NA,NA,NA,NP,NP
285,2003,NEWS,Chicago ,"The people serving there don't even receive mail in a timely fashion, much less the protection and secrecy that Bush had. What are Steyn's credentials to judge",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
286,2003,NEWS,Denver ,"unemployed for about three months. He's unable to land an interview, much less a job. # ' It's depressing,' said Maes, 38,",NP,NP,final,NA,1,Adj,unable,NA,NA,NP,NP
287,2003,ACAD,TheologStud ,". Though the contents of Snchez's work have not been widely known, much less the patristic theology that shaped it -- Imagen de la Virgen Mara was not reprinted",NP,NP,final,subj,0,Neg,NA,NA,NA,NP,NP
290,2003,ACAD,RoeperReview ,feelings would be shared by students who chose not to participate in school lessons much less a Saturday program. Larson and Richards (1991) tracked the boredom of 392,NP,NP,final,NA,1,Neg,NA,NA,NA,NP,NP
291,2003,ACAD,NaturalHist ,"bites out of tropical forests around the globe. With no national guidelines -- much less a global, or at least industrywide, policy -- to address the hungry advance",NP,NP,in S,"conj, subj",1,Neg,NA,NA,NA,NP,NP
292,2003,ACAD,Mercury ,"the slow climb of technological evolution would not have to start from scratch, much less the even slower climb of cultural evolution from the cave, or the biological evolution",NP,NP,final,subj,1,Neg,NA,NA,NA,NP,NP
293,2003,ACAD,Mercury ,"predict the cultural evolution even of our own species in the near future, much less those billions of years older than ours. Still, the real possibility -- perhaps",NP,NP,final,those,0,NEC,NA,NA,NA,NP,NP
294,2003,ACAD,LawPublicPol ,"which poses even more questions: How do we order our individual desires, much less the multiplicity of human desires that coalesce and clash whenever human beings live together?",NP,NP,final,NA,1,Ques,NA,NA,NA,NP,NP
295,2002,ACAD,AcademicQs ,"never have thought to hear from the lips of a U.S. presidential candidate, much less a conservative Republican. # "" We are now one of the largest Spanish-speaking nations",NP,NP,final,NA,1,Neg,never,NA,NA,NP,NP
296,2002,ACAD,Humanist ,"very little talk anymore about those values of fairness and justice and opportunity, much less a real effort to try and implement them. # Of course, I think",NP,NP,final,NA,0,Adj,little,NA,NA,NP,NP
298,2002,ACAD,ArabStudies ,"this constitutes the authorization required by the Charter for the war on Afghanistan, much less the extension of the war to other terrorist-harboring states, although it has been so",NP,NP,final,NA,0,NEC,NA,NA,NA,NP,NP
299,2002,ACAD,AnthropolQ ,"who did not address the effect of her or his presence on others, much less the various effects that others may have had on her or him. Twenty years",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
300,2002,ACAD,IntlAffairs ,"Likewise, the world today finds it hard to confront its collective aging, much less the difficult political and economic choices that aging societies will have to make. Yet",NP,NP,final,NA,1,Adj,hard,NA,NA,NP,NP
